"Pa_Org" "Codigo" "SatelitesOrbita"
"ALGERIA" "ALG" 6
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION" "AB" 14
"ARGENTINA" "ARGN" 39
"ASIA SATELLITE TELECOMMUNICATIONS COMPANY (ASIASAT)" "AC" 8
"AUSTRALIA" "AUS" 32
"AZERBAIJAN" "AZER" 2
"BANGLADESH" "BGD" 1
"BELARUS" "BELA" 2
"BOLIVIA" "BOL" 1
"BRAZIL" "BRAZ" 19
"BULGARIA" "BGR" 3
"CANADA" "CA" 68
"CHILE" "CHLE" 3
"CHINA/BRAZIL" "CHBZ" 3
"COMMONWEALTH OF INDEPENDENT STATES (FORMER USSR)" "CIS" 1532
"CZECH REPUBLIC (FORMER CZECHOSLOVAKIA)" "CZCH" 2
"CZECHIA" "CZ" 3
"DENMARK" "DEN" 9
"ECUADOR" "ECU" 2
"EGYPT" "EGYP" 7
"ESTONIA" "EST" 2
"EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES" "EUME" 9
"EUROPEAN SPACE AGENCY" "ESA" 93
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION" "EUTE" 55
"FRANCE" "FR" 85
"FRANCE/GERMANY" "FGER" 2
"FRANCE/ITALY" "FRIT" 2
"GERMANY" "GER" 74
"GLOBALSTAR" "GLOB" 84
"GREECE" "GREC" 3
"HUNGARY" "HUN" 1
"INDIA" "IND" 101
"INDONESIA" "INDO" 17
"INTERNATIONAL MOBILE SATELLITE ORGANIZATION (INMARSAT)" "IM" 19
"INTERNATIONAL SPACE STATION" "ISS" 5
"INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION" "ITSO" 86
"IRAN" "IRAN" 2
"IRAQ" "IRAK" 1
"ISRAEL" "ISRA" 22
"ITALY" "IT" 34
"JAPAN" "JPN" 205
"KAZAKHSTAN" "KAZ" 8
"LAOS" "LAOS" 1
"LATVIA" "LTV" 1
"LITHUANIA" "LTU" 8
"LUXEMBOURG" "LUXE" 12
"MALAYSIA" "MALA" 7
"MAURITIUS" "MUS" 1
"MEXICO" "MEX" 15
"MOROCCO" "MA" 2
"NETHERLANDS" "NETH" 10
"NEW ICO" "NICO" 1
"NEW ZEALAND" "NZ" 5
"NIGERIA" "NIG" 5
"NORTH ATLANTIC TREATY ORGANIZATION" "NATO" 8
"NORTH KOREA" "NKOR" 2
"NORWAY" "NOR" 10
"O3B NETWORKS" "O3B" 20
"ORBCOMM" "ORB" 41
"PAKISTAN" "PAKI" 6
"PEOPLE'S REPUBLIC OF CHINA" "PRC" 506
"PERU" "PER" 2
"PHILIPPINES (REPUBLIC OF THE PHILIPPINES)" "RP" 4
"POLAND" "POL" 5
"PORTUGAL" "POR" 2
"QATAR" "QAT" 1
"REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORGANIZATION" "RASC" 2
"REPUBLIC OF RWANDA" "RWA" 2
"REPUBLIC OF SLOVENIA" "SVN" 2
"REPUBLIC OF TUNISIA" "TUN" 1
"SAUDI ARABIA" "SAUD" 15
"SEA LAUNCH" "SEAL" 1
"SINGAPORE" "SING" 10
"SINGAPORE/TAIWAN" "STCT" 2
"SLOVAKIA" "SK" 1
"SOCIETE EUROPEENNE DES SATELLITES" "SES" 57
"SOUTH AFRICA" "SAFR" 4
"SOUTH KOREA" "SKOR" 25
"SPAIN" "SPN" 30
"SWEDEN" "SWED" 11
"TAIWAN (REPUBLIC OF CHINA)" "ROC" 18
"THAILAND" "THAI" 13
"TURKEY" "TURK" 14
"TURKMENISTAN/MONACO" "TMMC" 1
"UNITED ARAB EMIRATES" "UAE" 14
"UNITED KINGDOM" "UK" 404
"UNITED STATES" "US" 3940
"UNITED STATES/BRAZIL" "USBZ" 1
"URUGUAY" "URY" 1
"VENEZUELA" "VENZ" 3
"VIETNAM" "VTNM" 3
