"barrio"	"estacion"	"anio"	"zona"	"casas.positivas"	"total"
"1"	1	"verano"	2012	4	29	121
"2"	2	"verano"	2012	4	1	45
"3"	3	"verano"	2012	4	6	24
"4"	4	"verano"	2012	1	108	311
"5"	5	"verano"	2012	1	2	25
"6"	6	"verano"	2012	3	13	86
"7"	7	"verano"	2012	3	15	86
"8"	8	"verano"	2012	2	12	60
"9"	9	"verano"	2012	2	10	89
"10"	10	"verano"	2012	2	8	53
"11"	11	"verano"	2012	1	6	56
"12"	12	"verano"	2012	2	38	95
"13"	13	"verano"	2012	2	0	30
"14"	14	"verano"	2012	1	1	19
"15"	15	"verano"	2012	1	0	26
"16"	16	"verano"	2012	2	37	198
"17"	17	"verano"	2012	4	5	26
"18"	18	"verano"	2012	2	8	48
"19"	19	"verano"	2012	4	0	20
"20"	20	"verano"	2012	2	4	46
"21"	21	"verano"	2012	1	3	67
"22"	22	"verano"	2012	2	6	50
"23"	23	"verano"	2012	4	9	105
"24"	24	"verano"	2012	3	6	32
"25"	25	"verano"	2012	2	3	102
"26"	26	"verano"	2012	3	0	16
"27"	27	"verano"	2012	2	0	23
"28"	28	"verano"	2012	2	4	39
"29"	32	"verano"	2012	2	2	33
"30"	33	"verano"	2012	1	2	53
"31"	35	"verano"	2012	3	1	23
"32"	37	"verano"	2012	4	7	23
"33"	1	"verano"	2013	4	33	139
"34"	2	"verano"	2013	4	2	43
"35"	3	"verano"	2013	4	5	39
"36"	4	"verano"	2013	1	47	180
"37"	5	"verano"	2013	1	42	43
"38"	6	"verano"	2013	3	13	66
"39"	7	"verano"	2013	3	28	75
"40"	8	"verano"	2013	2	8	73
"41"	9	"verano"	2013	2	16	81
"42"	10	"verano"	2013	2	14	53
"43"	11	"verano"	2013	1	53	64
"44"	12	"verano"	2013	2	13	90
"45"	13	"verano"	2013	2	16	34
"46"	14	"verano"	2013	1	19	23
"47"	15	"verano"	2013	1	41	43
"48"	16	"verano"	2013	2	52	173
"49"	17	"verano"	2013	4	3	27
"50"	18	"verano"	2013	2	9	37
"51"	19	"verano"	2013	4	3	13
"52"	20	"verano"	2013	2	4	19
"53"	21	"verano"	2013	1	62	64
"54"	22	"verano"	2013	2	6	49
"55"	23	"verano"	2013	4	32	86
"56"	24	"verano"	2013	3	4	21
"57"	25	"verano"	2013	2	15	64
"58"	26	"verano"	2013	3	0	17
"59"	27	"verano"	2013	2	4	21
"60"	28	"verano"	2013	2	5	49
"61"	32	"verano"	2013	2	4	25
"62"	33	"verano"	2013	1	23	25
"63"	35	"verano"	2013	3	1	23
"64"	37	"verano"	2013	4	3	30
"65"	1	"otoño"	2012	4	20	127
"66"	2	"otoño"	2012	4	0	36
"67"	3	"otoño"	2012	4	0	39
"68"	7	"otoño"	2012	3	38	75
"69"	8	"otoño"	2012	2	10	62
"70"	9	"otoño"	2012	2	23	87
"71"	10	"otoño"	2012	2	28	57
"72"	12	"otoño"	2012	2	38	117
"73"	13	"otoño"	2012	2	10	34
"74"	14	"otoño"	2012	1	2	25
"75"	15	"otoño"	2012	1	5	27
"76"	16	"otoño"	2012	2	31	206
"77"	20	"otoño"	2012	2	3	29
"78"	21	"otoño"	2012	1	3	71
"79"	22	"otoño"	2012	2	5	36
"80"	27	"otoño"	2012	2	8	41
"81"	37	"otoño"	2012	4	7	24
"82"	1	"otoño"	2013	4	33	142
"83"	2	"otoño"	2013	4	7	47
"84"	3	"otoño"	2013	4	9	48
"85"	7	"otoño"	2013	3	17	98
"86"	8	"otoño"	2013	2	22	56
"87"	9	"otoño"	2013	2	28	84
"88"	10	"otoño"	2013	2	14	55
"89"	12	"otoño"	2013	2	26	166
"90"	13	"otoño"	2013	2	5	32
"91"	14	"otoño"	2013	1	23	25
"92"	15	"otoño"	2013	1	38	40
"93"	16	"otoño"	2013	2	41	174
"94"	20	"otoño"	2013	2	17	28
"95"	21	"otoño"	2013	1	58	62
"96"	22	"otoño"	2013	2	2	22
"97"	27	"otoño"	2013	2	4	28
"98"	37	"otoño"	2013	4	5	25
"99"	1	"primavera"	2012	4	2	110
"100"	2	"primavera"	2012	4	2	40
"101"	3	"primavera"	2012	4	1	38
"102"	4	"primavera"	2012	1	13	340
"103"	5	"primavera"	2012	1	1	55
"104"	6	"primavera"	2012	3	20	59
"105"	7	"primavera"	2012	3	11	98
"106"	8	"primavera"	2012	2	1	40
"107"	9	"primavera"	2012	2	2	66
"108"	10	"primavera"	2012	2	9	45
"109"	11	"primavera"	2012	1	3	77
"110"	12	"primavera"	2012	2	5	88
"111"	13	"primavera"	2012	2	0	13
"112"	14	"primavera"	2012	1	0	16
"113"	15	"primavera"	2012	1	0	40
"114"	16	"primavera"	2012	2	16	187
"115"	17	"primavera"	2012	4	1	22
"116"	18	"primavera"	2012	2	1	32
"117"	19	"primavera"	2012	4	2	12
"118"	20	"primavera"	2012	2	5	43
"119"	21	"primavera"	2012	1	5	62
"120"	22	"primavera"	2012	2	0	41
"121"	23	"primavera"	2012	4	5	90
"122"	24	"primavera"	2012	3	0	24
"123"	25	"primavera"	2012	2	4	76
"124"	26	"primavera"	2012	3	1	30
"125"	27	"primavera"	2012	2	3	17
"126"	28	"primavera"	2012	2	1	25
"127"	32	"primavera"	2012	2	3	38
"128"	33	"primavera"	2012	1	7	47
"129"	35	"primavera"	2012	3	3	14
"130"	37	"primavera"	2012	4	1	22
"131"	1	"primavera"	2013	4	6	191
"132"	2	"primavera"	2013	4	0	65
"133"	3	"primavera"	2013	4	1	51
"134"	4	"primavera"	2013	1	40	448
