Biomasa	pH	Salinidad	Zinc	Potasio
765.28	5	33	16.4524	1441.67
954.017	4.7	35	13.9852	1299.19
827.686	4.2	32	15.3276	1154.27
755.072	4.4	30	17.3128	1045.15
896.176	5.55	33	22.3312	521.62
1422.836	5.5	33	12.2778	1273.02
821.069	4.25	36	17.8225	1346.35
1008.804	4.45	30	14.3516	1253.88
1306.494	4.75	38	13.6826	1242.65
1039.637	4.6	30	11.7566	1282.95
1193.223	4.1	30	9.882	553.69
777.474	3.45	37	16.6752	494.74
818.127	3.45	33	12.373	526.97
1203.568	4.1	36	9.4058	571.14
977.515	3.5	30	14.9302	408.64
369.823	3.25	30	31.2865	646.65
509.872	3.25	27	30.1652	514.03
448.315	3.2	29	28.5901	350.73
615.091	3.35	34	17.8795	496.29
545.538	3.3	36	18.5056	580.92
436.552	3.25	30	22.1344	535.82
465.907	3.25	28	28.6101	490.34
664.601	3.2	31	23.1908	552.39
502.466	3.2	31	24.6917	661.32
496.797	3.35	35	22.6758	672.12
2270.294	7.1	29	0.3729	525.65
2332.22	7.35	35	0.2703	563.13
2162.531	7.45	35	0.3205	497.96
2222.588	7.45	30	0.2648	458.38
2337.326	7.4	30	0.2105	498.25
1349.192	4.85	26	18.9875	936.26
1058.976	4.6	29	20.9687	894.79
1408.206	5.2	25	23.9841	941.36
1491.276	4.75	26	19.9727	1038.79
1254.872	5.2	26	21.3864	898.05
1152.341	4.55	25	23.7063	989.87
568.455	3.95	26	30.5589	951.28
612.447	3.7	26	26.8415	929.83
654.825	3.75	27	27.7292	925.42
991.829	4.15	27	21.5699	954.11
1895.942	5.6	24	19.6531	720.72
1346.88	5.35	27	20.3295	782.09
1482.793	5.5	26	19.588	773.3
1145.643	5.5	28	20.1328	829.26
1137.193	5.4	28	19.242	856.96
