top_speed	common_name	scientific_name	codigo_nombre
1.52	Western fence lizard	Sceloporus occidentalis	A
1.74	Western fence lizard	Sceloporus occidentalis	A
1.79	Western fence lizard	Sceloporus occidentalis	A
2.01	Western fence lizard	Sceloporus occidentalis	A
3.13	Western fence lizard	Sceloporus occidentalis	A
2.89	Western fence lizard	Sceloporus occidentalis	A
2.56	Western fence lizard	Sceloporus occidentalis	A
2.65	Western fence lizard	Sceloporus occidentalis	A
3.38	Western fence lizard	Sceloporus occidentalis	A
2.36	Western fence lizard	Sceloporus occidentalis	A
2.21	Western fence lizard	Sceloporus occidentalis	A
1.65	Western fence lizard	Sceloporus occidentalis	A
2.05	Western fence lizard	Sceloporus occidentalis	A
2.84	Western fence lizard	Sceloporus occidentalis	A
3.36	Western fence lizard	Sceloporus occidentalis	A
2.02	Western fence lizard	Sceloporus occidentalis	A
1.63	Western fence lizard	Sceloporus occidentalis	A
2.51	Western fence lizard	Sceloporus occidentalis	A
2.18	Western fence lizard	Sceloporus occidentalis	A
2.09	Western fence lizard	Sceloporus occidentalis	A
1.82	Western fence lizard	Sceloporus occidentalis	A
2.53	Western fence lizard	Sceloporus occidentalis	A
1.74	Sagebrush lizard	Sceloporus graciosus	B
1.41	Sagebrush lizard	Sceloporus graciosus	B
1.3	Sagebrush lizard	Sceloporus graciosus	B
1.42	Sagebrush lizard	Sceloporus graciosus	B
2.23	Sagebrush lizard	Sceloporus graciosus	B
1.67	Sagebrush lizard	Sceloporus graciosus	B
1.15	Sagebrush lizard	Sceloporus graciosus	B
1.38	Sagebrush lizard	Sceloporus graciosus	B
1.75	Sagebrush lizard	Sceloporus graciosus	B
1.47	Sagebrush lizard	Sceloporus graciosus	B
1.59	Sagebrush lizard	Sceloporus graciosus	B
1.99	Sagebrush lizard	Sceloporus graciosus	B
2.21	Sagebrush lizard	Sceloporus graciosus	B
1.41	Sagebrush lizard	Sceloporus graciosus	B
1.7	Sagebrush lizard	Sceloporus graciosus	B
1.89	Sagebrush lizard	Sceloporus graciosus	B
1.8	Sagebrush lizard	Sceloporus graciosus	B
2.02	Sagebrush lizard	Sceloporus graciosus	B
1.87	Sagebrush lizard	Sceloporus graciosus	B
1.75	Sagebrush lizard	Sceloporus graciosus	B
1.15	Sagebrush lizard	Sceloporus graciosus	B
1.63	Sagebrush lizard	Sceloporus graciosus	B
1.84	Sagebrush lizard	Sceloporus graciosus	B
1.2	Sagebrush lizard	Sceloporus graciosus	B
1.28	Sagebrush lizard	Sceloporus graciosus	B
1.08	Sagebrush lizard	Sceloporus graciosus	B
