epoca	od
otono	6.5
otono	5.2
otono	0.2
otono	6.8
otono	6.1
otono	5.6
otono	6.3
otono	8
otono	7.3
otono	4.2
otono	7.1
otono	8.6
otono	4.7
otono	8.3
otono	8.7
otono	6.2
otono	5.1
otono	6.4
otono	6.8
otono	5.8
otono	4.7
otono	6.4
otono	5.2
otono	0.3
otono	6.5
otono	8.3
otono	9.3
otono	12.4
otono	9.8
otono	10.7
otono	9.8
otono	8.4
otono	1.5
otono	4.5
otono	6.8
otono	8.3
otono	10
otono	9.7
otono	8.5
primavera	2.34
primavera	3.58
primavera	3.69
primavera	3.57
primavera	1.67
primavera	4.25
primavera	7.83
primavera	7.91
primavera	5.2
primavera	7.05
primavera	7.26
primavera	2.4
primavera	8.1
primavera	7.4
primavera	6.3
primavera	5.2
primavera	3.6
primavera	6.3
primavera	2.76
primavera	4.63
primavera	4.57
primavera	4.91
primavera	6.97
primavera	6.2
primavera	7.86
primavera	8.56
primavera	9.04
primavera	5.27
primavera	5.27
primavera	6.21
primavera	6.28
primavera	5.03
primavera	4.66
primavera	5.44
verano	4.26
verano	3.78
verano	3.4
verano	3.18
verano	3.47
verano	3.52
verano	3.48
verano	4.38
verano	3.85
verano	4.25
verano	5.74
verano	7.32
verano	6.8
verano	1.56
verano	7.5
verano	6.3
verano	7.5
verano	4.6
verano	3.6
verano	5.1
verano	4.7
verano	6.81
verano	7.3
verano	5.99
verano	9.49
verano	9.18
verano	7.59
verano	6.51
verano	5.8
verano	4.66
verano	4.23
verano	5.38
verano	5.03
verano	7.77
verano	5.93
verano	7.02
