Y,X1,X2
35.83,34.27,49.68
33.86,34.06,48.28
35.19,33.53,48.68
34.77,33.00,48.02
35.80,34.01,49.41
33.93,32.64,48.17
34.99,33.96,48.61
33.19,32.62,47.13
34.07,33.65,48.45
34.43,33.05,48.08
34.09,33.85,48.45
35.13,34.25,49.11
34.03,33.70,48.78
32.94,33.41,47.36
34.86,34.32,48.63
35.10,33.81,48.85
34.57,33.83,48.72
35.36,33.31,48.46
33.84,33.94,48.52
33.93,34.14,48.70
32.89,31.31,46.17
34.24,32.83,47.80
35.32,33.30,48.58
35.34,33.82,48.61
32.97,31.76,46.63
35.40,34.55,49.82
34.48,32.56,47.86
34.96,33.50,48.21
34.97,34.80,49.15
36.11,34.32,49.85
35.39,35.05,49.43
34.34,34.13,48.65
33.31,33.95,48.01
32.53,33.06,47.85
34.55,33.37,47.96
34.59,33.87,47.95
33.40,33.63,48.42
34.94,36.54,50.21
33.98,32.63,48.03
34.45,33.13,47.94
35.53,33.45,49.55
37.09,35.49,50.74
34.46,32.45,47.62
33.88,33.43,48.15
34.11,32.20,47.41
34.48,33.47,48.70
33.44,32.89,47.85
34.21,32.98,47.71
32.98,32.74,47.84
33.69,33.83,48.11
34.86,32.50,48.08
33.51,32.40,47.96
33.78,33.25,47.94
33.57,32.70,47.72
35.63,34.11,48.42
34.09,33.33,47.67
33.76,33.80,48.83
34.21,32.74,47.86
33.12,32.64,47.43
34.27,34.38,49.17
35.28,34.47,48.59
34.36,33.68,47.96
32.72,31.53,46.76
33.74,33.16,47.22
35.87,34.68,49.84
32.43,32.48,47.27
33.67,32.52,47.93
33.99,33.08,47.78
33.62,32.06,47.42
32.64,32.05,47.25
34.12,33.46,48.18
35.80,34.96,49.71
34.37,33.65,48.67
35.36,34.22,48.75
34.20,32.68,47.49
34.95,33.38,48.22
33.90,32.40,47.35
33.64,33.76,48.68
33.62,32.57,47.58
34.10,32.39,47.33
33.85,32.45,47.79
32.94,32.80,48.27
32.85,32.42,47.53
