Wavelength (nm),Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Reflectance_spct
427,0.000255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0582389943301678
428,0.000984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584862306714058
429,0.002414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587252750992775
430,0.005829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589926615357399
431,0.014537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059281412512064
432,0.036603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059533953666687
433,0.09286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597641728818417
434,0.226412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059968076646328
435,0.471329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601596012711525
436,0.745606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603814274072647
437,0.905808,3.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606486462056637
438,0.972692,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608617514371872
439,0.98278,5.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0611130334436893
440,0.996969,7.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613812804222107
441,1.0,0.000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616104416549206
442,0.993137,0.000321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618629045784473
443,0.993683,0.000516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621368661522865
444,0.986713,0.000785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062347587198019
445,0.989052,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625610575079918
446,0.98379,0.001557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627914443612099
447,0.977393,0.002611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0630365610122681
448,0.958204,0.005328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632827952504158
449,0.908749,0.013894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063523143529892
450,0.765117,0.048329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063749261200428
451,0.517821,0.190738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0639730468392372
452,0.254149,0.534592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0642119646072388
453,0.085688,0.844893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0644624829292297
454,0.024767,0.9556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646745264530182
455,0.008019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649048462510109
456,0.003421,0.996498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0651602447032928
457,0.001628,0.972261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654062256217003
458,0.000609,0.963135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656141266226768
459,7.3e-05,0.965685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658213198184967
460,0.0,0.98232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0660814121365547
461,0.0,0.981834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0663415044546127
462,0.0,0.966772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665917843580246
463,0.0,0.966125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0668092593550682
464,0.0,0.964132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0670318007469177
465,0.0,0.954754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672725141048431
466,0.0,0.967361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067536436021328
467,0.0,0.980826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677734687924385
468,0.0,0.988729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679898038506508
469,0.0,0.976836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681945607066154
470,0.0,0.967332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068413719534874
471,0.0,0.968801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068638876080513
472,0.0,0.982262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688631758093834
473,0.0,0.989469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690801292657852
474,0.0,0.985615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693092346191406
475,0.0,0.989104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06953015178442
476,0.0,0.978564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696989372372627
477,0.0,0.953352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0699636042118073
478,0.0,0.956424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0702130869030952
479,0.0,0.96242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704118832945824
480,0.0,0.955545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706539824604988
481,0.0,0.954248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709091499447823
482,0.0,0.931813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711551979184151
483,0.0,0.931726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714209675788879
484,0.0,0.918822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0716846659779549
485,0.0,0.910385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719142332673073
486,0.0,0.912538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720881745219231
487,0.0,0.890253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723420679569244
488,0.0,0.868497,0.0,0.0,0.0,0.0,0.0,0.000214,0.0,0.0726089403033257
489,0.0,0.865864,0.0,0.0,0.0,0.0,0.0,0.000879,0.0,0.072823241353035
490,0.0,0.844202,0.0,0.0,0.0,0.0,0.0,0.001545,0.0,0.0730828642845154
491,0.0,0.828339,0.0,0.0,0.0,0.0,0.0,0.002283,0.0,0.0733432248234749
492,0.0,0.840828,0.0,0.0,0.0,0.0,0.0,0.00322,0.0,0.0735641792416573
493,0.0,0.848533,0.0,0.0,0.0,0.0,0.0,0.004292,0.0,0.0738136619329453
494,0.0,0.861157,0.0,0.0,0.0,0.0,0.0,0.005756,0.0,0.0740528479218483
495,0.0,0.88768,0.0,0.0,0.0,0.0,0.0,0.007663,0.0,0.0742791891098022
496,0.0,0.891913,0.0,0.0,0.0,0.0,0.0,0.010755,0.0,0.0745567306876183
497,0.0,0.886569,0.0,0.0,0.0,0.0,0.0,0.015178,0.0,0.0748139843344688
498,0.0,0.879688,0.0,0.0,0.0,0.0,0.0,0.022882,0.0,0.0750575885176659
499,0.0,0.874721,0.0,0.0,0.0,0.0,0.0,0.034787,0.0,0.0753190293908119
