,B02,B03,B08,B11,Clase
0,1194.0,1278.0,1606.0,1189.0,agua
1,1200.0,1306.0,1694.0,1203.0,agua
2,1226.0,1288.0,1680.0,1175.0,agua
3,1205.0,1270.0,1438.0,1130.0,agua
4,1198.0,1262.0,1336.0,1099.0,agua
5,1207.0,1280.0,1382.0,1087.0,agua
6,1195.0,1273.0,1560.0,1162.0,agua
7,1195.0,1297.0,1584.0,1177.0,agua
8,1212.0,1282.0,1574.0,1186.0,agua
9,1236.0,1270.0,1621.0,1155.0,agua
10,1194.0,1265.0,1457.0,1111.0,agua
11,1182.0,1276.0,1371.0,1087.0,agua
12,1206.0,1268.0,1356.0,1079.0,agua
13,1190.0,1269.0,1330.0,1076.0,agua
14,1190.0,1262.0,1328.0,1079.0,agua
15,1191.0,1280.0,1598.0,1208.0,agua
16,1180.0,1251.0,1528.0,1182.0,agua
17,1212.0,1318.0,1736.0,1178.0,agua
18,1226.0,1342.0,1816.0,1171.0,agua
19,1234.0,1296.0,1662.0,1136.0,agua
20,1200.0,1259.0,1392.0,1099.0,agua
21,1193.0,1266.0,1349.0,1087.0,agua
22,1216.0,1266.0,1365.0,1088.0,agua
23,1213.0,1265.0,1367.0,1085.0,agua
24,1181.0,1265.0,1306.0,1083.0,agua
25,1209.0,1342.0,1853.0,1294.0,agua
26,1209.0,1306.0,1830.0,1282.0,agua
27,1205.0,1281.0,1658.0,1244.0,agua
28,1219.0,1328.0,1750.0,1204.0,agua
29,1215.0,1322.0,1742.0,1163.0,agua
30,1215.0,1286.0,1565.0,1122.0,agua
31,1215.0,1253.0,1392.0,1095.0,agua
32,1201.0,1268.0,1363.0,1093.0,agua
33,1205.0,1294.0,1393.0,1102.0,agua
34,1218.0,1268.0,1375.0,1103.0,agua
35,1206.0,1260.0,1329.0,1100.0,agua
36,1190.0,1266.0,1325.0,1098.0,agua
37,1219.0,1344.0,1910.0,1353.0,agua
38,1224.0,1359.0,1982.0,1352.0,agua
39,1222.0,1321.0,1712.0,1305.0,agua
40,1199.0,1297.0,1565.0,1231.0,agua
41,1200.0,1253.0,1504.0,1158.0,agua
42,1189.0,1269.0,1503.0,1113.0,agua
43,1187.0,1253.0,1407.0,1096.0,agua
44,1187.0,1271.0,1410.0,1100.0,agua
45,1201.0,1290.0,1452.0,1112.0,agua
46,1195.0,1266.0,1451.0,1118.0,agua
47,1206.0,1268.0,1370.0,1116.0,agua
48,1200.0,1276.0,1324.0,1110.0,agua
49,1234.0,1381.0,2024.0,1367.0,agua
50,1223.0,1387.0,2020.0,1370.0,agua
51,1248.0,1404.0,2120.0,1321.0,agua
52,1236.0,1348.0,1824.0,1234.0,agua
53,1212.0,1282.0,1497.0,1150.0,agua
54,1207.0,1284.0,1436.0,1108.0,agua
55,1207.0,1264.0,1380.0,1099.0,agua
56,1218.0,1262.0,1378.0,1104.0,agua
57,1204.0,1271.0,1436.0,1114.0,agua
58,1193.0,1274.0,1524.0,1119.0,agua
59,1194.0,1285.0,1445.0,1119.0,agua
60,1186.0,1270.0,1322.0,1115.0,agua
61,1196.0,1269.0,1338.0,1113.0,agua
62,1226.0,1425.0,2226.0,1332.0,agua
63,1215.0,1462.0,2526.0,1335.0,agua
64,1240.0,1422.0,2350.0,1293.0,agua
65,1245.0,1370.0,1982.0,1216.0,agua
66,1207.0,1296.0,1571.0,1143.0,agua
67,1198.0,1277.0,1372.0,1108.0,agua
68,1206.0,1268.0,1360.0,1102.0,agua
69,1230.0,1271.0,1353.0,1106.0,agua
70,1196.0,1267.0,1327.0,1111.0,agua
71,1204.0,1281.0,1366.0,1113.0,agua
72,1219.0,1289.0,1421.0,1112.0,agua
73,1216.0,1260.0,1368.0,1111.0,agua
74,1219.0,1257.0,1330.0,1113.0,agua
75,1232.0,1342.0,1894.0,1257.0,agua
76,1223.0,1392.0,2218.0,1261.0,agua
77,1209.0,1377.0,2000.0,1236.0,agua
78,1213.0,1335.0,1806.0,1188.0,agua
79,1216.0,1284.0,1558.0,1139.0,agua
80,1210.0,1270.0,1324.0,1113.0,agua
81,1198.0,1277.0,1443.0,1105.0,agua
82,1214.0,1300.0,1448.0,1107.0,agua
83,1206.0,1267.0,1363.0,1109.0,agua
84,1205.0,1263.0,1378.0,1107.0,agua
85,1218.0,1279.0,1460.0,1103.0,agua
86,1216.0,1257.0,1386.0,1105.0,agua
87,1208.0,1254.0,1310.0,1111.0,agua
88,1184.0,1295.0,1527.0,1181.0,agua
89,1206.0,1326.0,1794.0,1186.0,agua
90,1198.0,1324.0,1590.0,1178.0,agua
91,1201.0,1280.0,1543.0,1159.0,agua
92,1198.0,1271.0,1462.0,1135.0,agua
93,1171.0,1269.0,1320.0,1115.0,agua
94,1218.0,1285.0,1474.0,1104.0,agua
95,1205.0,1306.0,1526.0,1105.0,agua
96,1206.0,1286.0,1501.0,1107.0,agua
97,1200.0,1266.0,1445.0,1103.0,agua
98,1210.0,1276.0,1502.0,1099.0,agua
99,1206.0,1270.0,1451.0,1105.0,agua
100,1207.0,1288.0,1472.0,1140.0,agua
101,1201.0,1310.0,1691.0,1142.0,agua
102,1188.0,1293.0,1463.0,1142.0,agua
103,1208.0,1292.0,1518.0,1137.0,agua
104,1224.0,1301.0,1591.0,1126.0,agua
105,1201.0,1275.0,1410.0,1110.0,agua
106,1198.0,1273.0,1384.0,1097.0,agua
107,1185.0,1280.0,1421.0,1097.0,agua
108,1195.0,1300.0,1493.0,1101.0,agua
109,1189.0,1285.0,1384.0,1100.0,agua
110,1200.0,1278.0,1442.0,1103.0,agua
111,1213.0,1286.0,1424.0,1120.0,agua
112,1197.0,1310.0,1550.0,1124.0,agua
113,1194.0,1300.0,1457.0,1125.0,agua
114,1202.0,1288.0,1486.0,1122.0,agua
115,1209.0,1285.0,1503.0,1114.0,agua
116,1219.0,1273.0,1405.0,1099.0,agua
117,1190.0,1264.0,1325.0,1088.0,agua
118,1184.0,1278.0,1311.0,1088.0,agua
119,1194.0,1269.0,1342.0,1093.0,agua
120,1195.0,1273.0,1310.0,1099.0,agua
121,1180.0,1281.0,1374.0,1113.0,agua
122,1205.0,1288.0,1412.0,1120.0,agua
123,1194.0,1282.0,1353.0,1113.0,agua
124,1194.0,1288.0,1458.0,1101.0,agua
125,1191.0,1285.0,1490.0,1089.0,agua
126,1208.0,1276.0,1368.0,1081.0,agua
127,1202.0,1276.0,1356.0,1080.0,agua
128,1224.0,1276.0,1355.0,1086.0,agua
129,1222.0,1271.0,1339.0,1098.0,agua
130,1198.0,1278.0,1454.0,1092.0,agua
131,1195.0,1282.0,1390.0,1084.0,agua
132,1220.0,1284.0,1375.0,1081.0,agua
133,1173.0,1278.0,1363.0,1079.0,agua
134,1202.0,1278.0,1318.0,1083.0,agua
135,1255.0,1298.0,1274.0,1103.0,agua
136,1251.0,1313.0,1269.0,1104.0,agua
137,1246.0,1309.0,1269.0,1104.0,agua
138,1245.0,1323.0,1271.0,1100.0,agua
139,1243.0,1304.0,1265.0,1102.0,agua
140,1260.0,1311.0,1264.0,1100.0,agua
141,1241.0,1314.0,1268.0,1103.0,agua
142,1223.0,1285.0,1270.0,1106.0,agua
143,1245.0,1310.0,1269.0,1104.0,agua
144,1230.0,1302.0,1264.0,1097.0,agua
145,1222.0,1311.0,1267.0,1089.0,agua
146,1229.0,1313.0,1264.0,1087.0,agua
147,1234.0,1305.0,1269.0,1104.0,agua
148,1225.0,1298.0,1262.0,1100.0,agua
149,1231.0,1301.0,1264.0,1099.0,agua
150,1242.0,1302.0,1269.0,1101.0,agua
151,1233.0,1301.0,1266.0,1102.0,agua
152,1252.0,1315.0,1262.0,1100.0,agua
153,1241.0,1301.0,1261.0,1095.0,agua
154,1221.0,1311.0,1262.0,1091.0,agua
155,1229.0,1288.0,1268.0,1091.0,agua
156,1242.0,1297.0,1271.0,1097.0,agua
157,1240.0,1309.0,1259.0,1107.0,agua
158,1227.0,1300.0,1267.0,1104.0,agua
159,1219.0,1309.0,1261.0,1101.0,agua
160,1241.0,1312.0,1266.0,1099.0,agua
161,1215.0,1309.0,1264.0,1098.0,agua
162,1215.0,1301.0,1262.0,1097.0,agua
163,1264.0,1302.0,1263.0,1096.0,agua
164,1229.0,1299.0,1264.0,1095.0,agua
165,1231.0,1318.0,1264.0,1095.0,agua
166,1228.0,1313.0,1265.0,1096.0,agua
167,1228.0,1284.0,1260.0,1100.0,agua
168,1229.0,1288.0,1262.0,1104.0,agua
169,1215.0,1309.0,1259.0,1109.0,agua
170,1231.0,1284.0,1268.0,1107.0,agua
171,1238.0,1322.0,1260.0,1104.0,agua
172,1238.0,1306.0,1268.0,1100.0,agua
173,1228.0,1310.0,1262.0,1096.0,agua
174,1233.0,1304.0,1262.0,1094.0,agua
175,1236.0,1297.0,1258.0,1094.0,agua
176,1205.0,1294.0,1258.0,1096.0,agua
177,1234.0,1294.0,1264.0,1099.0,agua
178,1229.0,1304.0,1265.0,1101.0,agua
179,1230.0,1301.0,1257.0,1103.0,agua
180,1228.0,1285.0,1264.0,1106.0,agua
181,1217.0,1282.0,1251.0,1110.0,agua
182,1245.0,1292.0,1254.0,1110.0,agua
